Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
68,+4,ThxSoMch ,SPIT IN MY FACE!,10,68,,11299489,1289495.0,85554637
69,+4,Grupo Frontera ,No Se Va,16,36,,11276811,1320671.0,174781256
70,+24,KAROL G ,CAIRO,9,70,,11175029,2101865.0,86872384
71,-14,SZA ,Shirt,12,21,,11145190,-345494.0,156763720
72,+9,Cris Mj ,Marisola,4,72,,11031725,1591030.0,36325791
73,+56,Feid ,CHORRITO PA LAS ANIMAS,4,73,,10983970,2784959.0,33900354
74,-10,Stephen Sanchez ,Until I Found You,37,20,,10893231,220791.0,493532404
75,-12,The Weeknd ,I Was Never There,33,17,,10862516,37660.0,315585684
76,-9,Tiësto ,10:35,5,67,,10804437,394290.0,45457083
77,-15,Elton John ,Cold Heart,75,4,,10481987,-405579.0,1325417315
78,NEW,Libianca ,People,1,78,,10450166,,10450166
79,+112,Shakira ,Te Felicito,36,13,,10403791,3580618.0,434782365
80,-19,Bad Bunny ,Neverita,37,15,,10368263,-565686.0,482040959
81,-11,Tory Lanez ,The Color Violet,3,70,,10237663,34159.0,28993544
82,-13,Ruth B. ,Dandelions,75,34,,10188738,-151770.0,697177644
83,+15,Lewis Capaldi ,Someone You Loved,210,4,,10163812,1320722.0,2546439508
84,-16,Arctic Monkeys ,505,55,43,,9961208,-417365.0,504688268
85,+31,Vance Joy ,Riptide,232,16,,9951539,1399437.0,953566664
86,-30,Rauw Alejandro ,LOKERA,23,38,,9928643,-2074651.0,267805553
87,+6,Arijit Singh ,"Apna Bana Le (From ""Bhediya"")",3,87,,9901139,808952.0,26747795
88,-17,Fujii Kaze ,Shinunoga E,9,66,,9760011,-320272.0,91298267
89,+2,Hotel Ugly ,Shut up My Moms Calling,9,89,,9742957,593841.0,67592567
90,+30,Dean Lewis ,How Do I Say Goodbye,15,86,,9736753,1259713.0,126087835
91,+32,Bruno Mars ,When I Was Your Man,66,91,,9678673,1257540.0,205277879
92,-18,Bad Bunny ,Moscow Mule,37,2,(x2),9533937,-398479.0,719260637
93,-17,Taylor Swift ,Lavender Haze,13,2,(x1),9533155,-309151.0,244630046
94,+11,Wisin & Yandel ,Besos Moja2,16,64,,9495578,781380.0,149887420
95,+17,Israel & Rodolffo ,Bombonzinho,10,80,,9470044,876423.0,83299755
96,+67,Quevedo ,Playa Del Inglés,5,96,,9469582,2055790.0,39920266
97,-7,Quevedo ,Vista Al Mar,19,45,,9410955,243771.0,191156179
98,-16,Eminem ,Without Me,82,31,,9399088,-1.0,580973496
99,-19,BLACKPINK ,Shut Down,18,1,(x1),9386859,-53961.0,267808218
100,-21,The Weeknd ,Call Out My Name,65,1,(x1),9382636,-117703.0,611717366
101,-23,NewJeans ,Hype Boy,16,78,,9331009,-270166.0,122177683
102,-17,Charlie Puth ,Left and Right (Feat. Jung Kook of BTS),30,7,,9201421,-106918.0,448928348
103,+4,Rauw Alejandro ,PUNTO 40,15,48,,9166525,508766.0,158447365
104,-38,LE SSERAFIM ,ANTIFRAGILE,13,63,,9154531,-1327431.0,125222327
105,-8,Zach Bryan ,Something in the Orange,19,57,,9152255,302821.0,163468682
106,-14,Rihanna ,Lift Me Up,12,11,,9121708,-9206.0,156087653
107,-23,Harry Styles ,Late Night Talking,35,2,(x1),9104518,-204335.0,522449472
